t	x	y
0.000	5.849E-2	1.329E-2
0.033	5.849E-2	1.329E-2
0.067	6.714E-2	1.427E-2
0.100	7.507E-2	1.483E-2
0.133	8.204E-2	1.575E-2
0.167	8.808E-2	1.631E-2
0.200	9.278E-2	1.714E-2
0.234	9.652E-2	1.776E-2
0.267	9.907E-2	1.794E-2
0.300	0.101	1.794E-2
0.334	0.101	1.784E-2
0.367	9.946E-2	1.775E-2
0.400	9.667E-2	1.766E-2
0.434	9.271E-2	1.721E-2
0.467	8.773E-2	1.637E-2
0.501	8.165E-2	1.596E-2
0.534	7.458E-2	1.492E-2
0.567	6.607E-2	1.447E-2
0.601	5.715E-2	1.364E-2
0.634	5.708E-2	1.350E-2
0.667	4.721E-2	1.291E-2
0.701	3.705E-2	1.233E-2
0.734	2.614E-2	1.187E-2
0.767	1.496E-2	1.158E-2
0.801	3.555E-3	1.152E-2
0.834	-7.448E-3	1.167E-2
0.868	-1.823E-2	1.171E-2
0.901	-2.849E-2	1.187E-2
0.934	-3.856E-2	1.242E-2
0.968	-4.856E-2	1.307E-2
1.001	-5.694E-2	1.356E-2
1.034	-6.522E-2	1.429E-2
1.068	-7.178E-2	1.503E-2
1.101	-7.795E-2	1.567E-2
1.134	-8.235E-2	1.630E-2
1.168	-8.550E-2	1.668E-2
1.201	-8.734E-2	1.677E-2
1.235	-8.802E-2	1.672E-2
1.268	-8.733E-2	1.648E-2
1.301	-8.531E-2	1.624E-2
1.335	-8.218E-2	1.604E-2
1.368	-7.792E-2	1.574E-2
1.401	-7.212E-2	1.497E-2
1.435	-6.549E-2	1.452E-2
1.468	-5.772E-2	1.421E-2
1.502	-4.873E-2	1.381E-2
1.535	-3.953E-2	1.334E-2
1.568	-2.949E-2	1.317E-2
1.602	-1.922E-2	1.311E-2
1.635	-8.564E-3	1.324E-2
1.668	2.177E-3	1.320E-2
1.702	1.309E-2	1.353E-2
1.735	2.386E-2	1.402E-2
1.768	3.416E-2	1.441E-2
1.802	4.391E-2	1.487E-2
1.835	5.314E-2	1.588E-2
1.869	6.176E-2	1.658E-2
1.902	6.935E-2	1.751E-2
1.935	7.612E-2	1.807E-2
1.969	8.187E-2	1.900E-2
2.002	8.642E-2	1.935E-2
2.035	8.966E-2	1.962E-2
2.069	9.187E-2	1.994E-2
2.102	9.255E-2	2.030E-2
2.135	9.223E-2	2.039E-2
2.169	9.067E-2	2.026E-2
2.202	8.771E-2	1.999E-2
2.236	8.351E-2	1.930E-2
2.269	7.822E-2	1.886E-2
2.302	7.168E-2	1.790E-2
2.336	6.425E-2	1.733E-2
2.369	5.572E-2	1.640E-2
2.402	4.664E-2	1.602E-2
2.436	3.676E-2	1.510E-2
2.469	2.625E-2	1.458E-2
2.502	1.555E-2	1.435E-2
2.536	4.779E-3	1.390E-2
2.569	-6.452E-3	1.339E-2
2.603	-1.744E-2	1.332E-2
2.636	-2.813E-2	1.343E-2
2.669	-3.846E-2	1.359E-2
2.703	-4.812E-2	1.402E-2
2.736	-5.765E-2	1.445E-2
2.769	-6.575E-2	1.504E-2
2.803	-7.314E-2	1.548E-2
2.836	-7.972E-2	1.561E-2
2.870	-8.462E-2	1.640E-2
2.903	-8.865E-2	1.648E-2
2.936	-9.123E-2	1.678E-2
2.970	-9.261E-2	1.669E-2
3.003	-9.274E-2	1.647E-2
3.036	-9.140E-2	1.628E-2
3.070	-8.929E-2	1.619E-2
3.103	-8.558E-2	1.594E-2
3.136	-8.037E-2	1.545E-2
3.170	-7.468E-2	1.486E-2
3.203	-6.775E-2	1.459E-2
3.237	-5.906E-2	1.363E-2
3.270	-5.028E-2	1.326E-2
3.303	-4.100E-2	1.313E-2
3.337	-3.104E-2	1.266E-2
3.370	-2.044E-2	1.287E-2
3.403	-9.694E-3	1.273E-2
3.437	1.565E-3	1.322E-2
3.470	1.236E-2	1.333E-2
3.504	2.332E-2	1.372E-2
3.537	3.348E-2	1.448E-2
3.570	4.348E-2	1.482E-2
