t	x	y
0.000	-6.461E-2	1.527E-16
0.057	-6.502E-2	2.964E-5
0.091	-6.453E-2	4.913E-5
0.124	-6.299E-2	7.203E-5
0.157	-6.067E-2	1.030E-5
0.191	-5.736E-2	-1.815E-4
0.224	-5.340E-2	-4.567E-4
0.257	-4.876E-2	-3.234E-4
0.291	-4.340E-2	3.605E-6
0.324	-3.713E-2	1.036E-4
0.357	-3.020E-2	4.576E-5
0.391	-2.257E-2	-7.286E-5
0.424	-1.456E-2	-1.429E-4
0.457	-5.957E-3	-2.303E-4
0.490	2.904E-3	-1.382E-4
0.524	1.185E-2	1.793E-5
0.557	2.088E-2	4.509E-4
0.590	3.002E-2	1.102E-3
0.624	3.889E-2	1.844E-3
0.657	4.732E-2	2.458E-3
0.690	5.529E-2	3.098E-3
0.724	6.250E-2	3.731E-3
0.757	6.900E-2	4.408E-3
0.790	7.475E-2	5.129E-3
0.824	7.953E-2	5.793E-3
0.857	8.345E-2	6.471E-3
0.890	8.628E-2	6.745E-3
0.924	8.788E-2	6.781E-3
0.957	8.834E-2	6.561E-3
0.990	8.741E-2	6.457E-3
1.023	8.532E-2	6.398E-3
1.057	8.204E-2	6.036E-3
1.090	7.789E-2	5.351E-3
1.123	7.266E-2	4.446E-3
1.157	6.702E-2	3.911E-3
1.190	6.236E-2	3.807E-3
1.223	5.446E-2	3.311E-3
1.257	4.566E-2	2.798E-3
1.290	4.484E-2	2.002E-3
1.323	3.727E-2	1.444E-3
1.357	2.884E-2	7.716E-4
1.390	1.981E-2	4.004E-4
1.423	5.835E-3	5.851E-4
1.457	-5.107E-3	5.955E-4
1.490	-1.566E-2	8.144E-4
1.523	-2.621E-2	1.010E-3
1.556	-3.621E-2	1.372E-3
1.590	-4.590E-2	1.849E-3
1.623	-5.500E-2	2.430E-3
1.656	-6.329E-2	3.082E-3
1.690	-7.090E-2	3.685E-3
1.723	-7.764E-2	4.269E-3
1.756	-8.318E-2	4.762E-3
1.790	-8.793E-2	5.194E-3
1.823	-9.172E-2	5.465E-3
1.856	-9.486E-2	5.581E-3
1.890	-9.671E-2	5.862E-3
1.923	-9.775E-2	5.950E-3
1.956	-9.788E-2	5.897E-3
1.990	-9.705E-2	5.740E-3
2.023	-9.525E-2	5.335E-3
2.056	-9.248E-2	4.811E-3
2.089	-8.887E-2	4.084E-3
2.123	-8.431E-2	3.390E-3
2.156	-7.861E-2	2.593E-3
2.189	-7.252E-2	1.955E-3
2.223	-6.580E-2	1.349E-3
2.256	-5.853E-2	7.238E-4
2.289	-5.064E-2	7.527E-5
2.323	-4.240E-2	-5.382E-4
2.356	-3.370E-2	-1.155E-3
2.389	-2.477E-2	-1.701E-3
2.423	-1.575E-2	-2.020E-3
2.456	-6.746E-3	-2.142E-3
2.489	1.935E-3	-2.138E-3
2.522	1.058E-2	-2.003E-3
2.556	1.888E-2	-1.911E-3
2.589	2.672E-2	-1.815E-3
2.622	3.400E-2	-1.634E-3
2.656	4.065E-2	-1.491E-3
2.689	4.639E-2	-1.221E-3
2.722	5.143E-2	-9.536E-4
2.756	5.537E-2	-6.507E-4
2.789	5.831E-2	-5.447E-4
2.822	6.004E-2	-5.626E-4
2.856	6.070E-2	-6.970E-4
2.889	6.015E-2	-8.087E-4
2.922	5.858E-2	-1.112E-3
2.956	5.605E-2	-1.612E-3
2.989	5.251E-2	-2.102E-3
3.022	4.764E-2	-2.353E-3
3.055	4.196E-2	-2.887E-3
3.089	3.524E-2	-3.169E-3
3.122	2.786E-2	-3.671E-3
3.155	1.996E-2	-4.087E-3
3.189	1.151E-2	-4.302E-3
3.222	2.697E-3	-4.550E-3
3.255	-6.012E-3	-4.799E-3
3.289	-1.119E-2	-2.386E-3
3.322	-2.005E-2	-3.097E-3
3.355	-2.984E-2	-3.421E-3
3.389	-3.943E-2	-3.839E-3
3.422	-4.884E-2	-3.619E-3
3.455	-5.830E-2	-3.479E-3
3.489	-6.727E-2	-2.651E-3
3.522	-7.511E-2	-2.385E-3
3.555	-8.286E-2	-1.852E-3
3.588	-9.023E-2	-1.536E-3
3.622	-9.565E-2	-1.152E-3
3.655	-8.808E-2	-3.804E-3
3.688	-8.872E-2	-3.760E-3
3.722	-9.708E-2	-3.151E-3
3.755	-0.112	-3.726E-3
